X,Y,Half,Player1 Name,Player1 Team,Match Name
-28.62,-14.69,0,Antolin ALCARAZ,Wigan Athletic,12.01.03 Wigan Athletic v Sunderland
31.52,-15.65,1,David JONES,Wigan Athletic,12.01.03 Wigan Athletic v Sunderland
26.58,-2.23,1,Victor MOSES,Wigan Athletic,12.01.03 Wigan Athletic v Sunderland
29.92,-4.46,1,Ben WATSON,Wigan Athletic,12.01.03 Wigan Athletic v Sunderland
33.02,4.7,1,Hugo RODALLEGA,Wigan Athletic,12.01.03 Wigan Athletic v Sunderland
29.96,3.09,1,Hugo RODALLEGA,Wigan Athletic,12.01.03 Wigan Athletic v Sunderland
-46.17,0.93,1,Stephane SESSEGNON,Sunderland,12.01.03 Wigan Athletic v Sunderland
38.54,7.59,1,Ben WATSON,Wigan Athletic,12.01.03 Wigan Athletic v Sunderland
-36.41,19.68,1,James MCCLEAN,Sunderland,12.01.03 Wigan Athletic v Sunderland
-36.86,-12.05,1,Stephane SESSEGNON,Sunderland,12.01.03 Wigan Athletic v Sunderland
-31.91,2.12,1,David VAUGHAN,Sunderland,12.01.03 Wigan Athletic v Sunderland
32.41,18.12,1,Victor MOSES,Wigan Athletic,12.01.03 Wigan Athletic v Sunderland
35.07,-2.32,1,Jordi GOMEZ,Wigan Athletic,12.01.03 Wigan Athletic v Sunderland
26.56,-17.07,1,Jordi GOMEZ,Wigan Athletic,12.01.03 Wigan Athletic v Sunderland
28.18,-9.76,1,Hugo RODALLEGA,Wigan Athletic,12.01.03 Wigan Athletic v Sunderland
48.28,-12.78,1,Conor SAMMON,Wigan Athletic,12.01.03 Wigan Athletic v Sunderland
-33.86,7.32,0,Wayne ROONEY,Manchester United,12.05.06 Manchester United v Swansea City
37.24,16.13,0,Nathan DYER,Swansea City,12.05.06 Manchester United v Swansea City
-25.26,-4.09,0,Michael CARRICK,Manchester United,12.05.06 Manchester United v Swansea City
-38.35,13.43,0,Patrice EVRA,Manchester United,12.05.06 Manchester United v Swansea City
-32.69,5.73,0,Patrice EVRA,Manchester United,12.05.06 Manchester United v Swansea City
-47.15,10.66,0,Wayne ROONEY,Manchester United,12.05.06 Manchester United v Swansea City
29.02,5.01,0,Gylfi SIGURDSSON,Swansea City,12.05.06 Manchester United v Swansea City
32.56,-0.86,0,Danny GRAHAM,Swansea City,12.05.06 Manchester United v Swansea City
-29.14,1.2,0,Wayne ROONEY,Manchester United,12.05.06 Manchester United v Swansea City
-40.42,-7.26,0,Michael CARRICK,Manchester United,12.05.06 Manchester United v Swansea City
-48.75,-0.23,0,Paul SCHOLES,Manchester United,12.05.06 Manchester United v Swansea City
-45.9,-1.54,0,Javier HERNANDEZ,Manchester United,12.05.06 Manchester United v Swansea City
-44.4,-12.26,0,Wayne ROONEY,Manchester United,12.05.06 Manchester United v Swansea City
-31.44,5.08,0,Wayne ROONEY,Manchester United,12.05.06 Manchester United v Swansea City
-25.76,-1.52,0,Antonio VALENCIA,Manchester United,12.05.06 Manchester United v Swansea City
-35.77,-13.3,0,Phil JONES,Manchester United,12.05.06 Manchester United v Swansea City
-35.2,11.81,0,Patrice EVRA,Manchester United,12.05.06 Manchester United v Swansea City
-38.3,3.9,0,Wayne ROONEY,Manchester United,12.05.06 Manchester United v Swansea City
-40.21,12.21,0,Ashley YOUNG,Manchester United,12.05.06 Manchester United v Swansea City
24.66,-8.07,0,Gylfi SIGURDSSON,Swansea City,12.05.06 Manchester United v Swansea City
-25.36,-1.64,1,Gylfi SIGURDSSON,Swansea City,12.05.06 Manchester United v Swansea City
-32.96,1.54,1,Joe ALLEN,Swansea City,12.05.06 Manchester United v Swansea City
32.65,-11.5,1,Ashley YOUNG,Manchester United,12.05.06 Manchester United v Swansea City
-30.17,-10.26,1,Joe ALLEN,Swansea City,12.05.06 Manchester United v Swansea City
-39.56,-1.45,1,Danny GRAHAM,Swansea City,12.05.06 Manchester United v Swansea City
38.17,-12.64,1,Ashley YOUNG,Manchester United,12.05.06 Manchester United v Swansea City
44.34,11.36,1,Antonio VALENCIA,Manchester United,12.05.06 Manchester United v Swansea City
-41.23,4.36,1,Nathan DYER,Swansea City,12.05.06 Manchester United v Swansea City
43.93,7.07,1,Wayne ROONEY,Manchester United,12.05.06 Manchester United v Swansea City
-35.2,15.94,1,Scott SINCLAIR,Swansea City,12.05.06 Manchester United v Swansea City
47.51,-9.56,1,Javier HERNANDEZ,Manchester United,12.05.06 Manchester United v Swansea City
-39.62,-13.49,1,Danny GRAHAM,Swansea City,12.05.06 Manchester United v Swansea City
-24.33,-2.17,1,Gylfi SIGURDSSON,Swansea City,12.05.06 Manchester United v Swansea City
41.95,6.66,1,Tom CLEVERLEY,Manchester United,12.05.06 Manchester United v Swansea City
30.08,-7.61,1,Patrice EVRA,Manchester United,12.05.06 Manchester United v Swansea City
-41.0,-8.0,0,Gylfi SIGURDSSON,Swansea City,12.04.06 Swansea City v Newcastle United
38.0,7.0,0,Papiss DEMBA CISSE,Newcastle United,12.04.06 Swansea City v Newcastle United
-32.0,-11.0,0,Angel RANGEL,Swansea City,12.04.06 Swansea City v Newcastle United
-30.0,6.0,0,Joe ALLEN,Swansea City,12.04.06 Swansea City v Newcastle United
32.0,-2.0,0,Demba BA,Newcastle United,12.04.06 Swansea City v Newcastle United
-21.0,1.0,0,Joe ALLEN,Swansea City,12.04.06 Swansea City v Newcastle United
28.0,5.0,0,Hatem BEN ARFA,Newcastle United,12.04.06 Swansea City v Newcastle United
-24.0,-10.0,0,Gylfi SIGURDSSON,Swansea City,12.04.06 Swansea City v Newcastle United
-38.0,-5.0,0,Gylfi SIGURDSSON,Swansea City,12.04.06 Swansea City v Newcastle United
37.0,-2.0,1,Gylfi SIGURDSSON,Swansea City,12.04.06 Swansea City v Newcastle United
23.0,0.0,1,Joe ALLEN,Swansea City,12.04.06 Swansea City v Newcastle United
39.0,4.0,1,Angel RANGEL,Swansea City,12.04.06 Swansea City v Newcastle United
26.0,-12.0,1,Luke MOORE,Swansea City,12.04.06 Swansea City v Newcastle United
-40.0,-12.0,1,Papiss DEMBA CISSE,Newcastle United,12.04.06 Swansea City v Newcastle United
43.0,-14.0,1,Scott SINCLAIR,Swansea City,12.04.06 Swansea City v Newcastle United
-43.0,8.0,1,Papiss DEMBA CISSE,Newcastle United,12.04.06 Swansea City v Newcastle United
28.0,-16.0,1,Scott SINCLAIR,Swansea City,12.04.06 Swansea City v Newcastle United
28.0,-1.0,1,Gylfi SIGURDSSON,Swansea City,12.04.06 Swansea City v Newcastle United
32.0,-14.0,1,Scott SINCLAIR,Swansea City,12.04.06 Swansea City v Newcastle United
26.55,-4.54,0,Adel TAARABT,Queens Park Rangers,12.02.25 Queens Park Rangers v Fulham
27.16,-8.64,0,Taye TAIWO,Queens Park Rangers,12.02.25 Queens Park Rangers v Fulham
