,Player Name,Goals,xGoals Shot,DP Passes Made,Cr Crosses Made,CA Regains,HP Regains,BMP+,Possessions,On-pitch xG Generated,ST Involvement,BU Involvement,Ma Involvement,Player Points,Average X,Average Y,Team
0,Aaron RAMSEY,2,6.099114985635942,45.60850000000001,41,7.2939031606536116,15.77290000000004,92.001292205,71.70588235294117,48.849280903341764,11.558823529411764,24.205882352941178,18.823529411764707,0.18187410926143238,7.502414961181589,0.41016710954695734,Arsenal
1,Alexandre SONG,1,1.5994060237757664,55.763500000000015,15,14.962176916067902,23.265481249999997,86.09223107600002,78.8529411764706,62.22280474776858,7.0,24.147058823529413,24.941176470588236,0.12994058017158353,-0.17891965647918623,0.6009670501995621,Arsenal
2,Andre SANTOS,2,1.0110670988379737,23.880000000000006,26,8.934946746373688,6.212674999999976,24.448334725000002,69.93333333333334,23.963804162893922,6.8,17.8,25.6,0.07788147320624492,-0.1535758094929454,-21.258019599152377,Arsenal
4,Anthony PILKINGTON,7,4.408153535182051,42.468,116,7.390983377538782,13.428843749999995,35.915121826000004,37.5,24.172301000469325,6.866666666666666,8.8,7.166666666666667,0.1538334162508317,10.041329129350764,-7.732640555570923,Norwich City
5,Bradley JOHNSON,2,2.465107234305252,98.89950000000002,24,9.490968205319257,24.98470625000002,37.21769911500001,55.5,26.908775212769967,3.7142857142857144,11.964285714285714,13.0,0.12924037328073873,-0.48900925990985095,-6.802747357684764,Norwich City
6,David FOX,0,0.4773751722511309,101.9595,92,13.509380915608336,11.915124999999975,56.256855418,63.5,27.185924040728846,5.678571428571429,15.321428571428571,17.214285714285715,0.08375493277199555,0.5315361863923387,1.9737694610934784,Norwich City
7,Elliott BENNETT,1,1.3751733806413,32.8035,150,8.87969857858952,13.213699999999974,35.974745754999994,35.42424242424242,28.939982801271526,8.0,7.818181818181818,4.03030303030303,0.06051470621326228,11.388766549625169,13.41160474576124,Norwich City
8,Grant HOLT,15,11.821486747964517,16.084000000000003,33,1.100314540914325,6.498437499999977,37.485372357,28.833333333333332,33.431647112795005,7.166666666666667,6.25,1.75,0.20883589091367893,20.203369253726393,-2.5477410709478203,Norwich City
9,Johan DJOUROU,0,0.3960369519526321,11.561500000000002,8,8.79874475885539,5.222556250000007,15.325403054,49.333333333333336,25.622673778551153,2.7222222222222223,8.833333333333334,20.77777777777778,0.03321084058297143,-5.233425347084954,18.500848626105096,Arsenal
11,Kyle NAUGHTON,0,0.3526674880608025,232.38549999999998,57,27.824990066787624,18.19223125000001,43.935108076000006,63.5,38.19285071374251,6.71875,12.78125,15.03125,0.053415702133877745,-2.6354900650426227,8.803410364312379,Norwich City
