xG Score,Angle,playerName,playerTeam
0.2726110282764502,4.947348438939412,Bobby ZAMORA,Queens Park Rangers
0.0065799874352307,15.626311209056029,Chris BRUNT,West Bromwich Albion
0.1780001260411577,37.55146292218158,Peter ODEMWINGIE,West Bromwich Albion
0.0124644744535395,18.00129832293472,Peter ODEMWINGIE,West Bromwich Albion
0.0228157148094172,16.25456298857461,Graham DORRANS,West Bromwich Albion
0.0209495861490577,5.353620676493421,Adel TAARABT,Queens Park Rangers
0.0524051650458061,24.20281344445943,Peter ODEMWINGIE,West Bromwich Albion
0.0212455162809628,20.19301571534524,Youssouf MULUMBU,West Bromwich Albion
0.1292703588427719,4.743977972914297,Samba DIAKITE,Queens Park Rangers
0.044527961437424,24.44551188029642,Peter ODEMWINGIE,West Bromwich Albion
0.0303372049230637,21.62646149226119,Marc-Antoine FORTUNE,West Bromwich Albion
0.1954773538678866,4.702095407863638,Bobby ZAMORA,Queens Park Rangers
0.102582508240783,4.914187524346842,Bobby ZAMORA,Queens Park Rangers
0.0350860899141381,4.959894382633371,Jamie MACKIE,Queens Park Rangers
0.0745520455560362,4.8705875730947925,Clint HILL,Queens Park Rangers
0.0871122530134822,29.98863297007799,Peter ODEMWINGIE,West Bromwich Albion
0.0678439747320098,43.96114654815036,Gareth MCAULEY,West Bromwich Albion
0.0602203398754412,5.3353700600804554,Jamie MACKIE,Queens Park Rangers
0.0418229928323353,5.661946399253478,Graham DORRANS,West Bromwich Albion
0.2589226715870728,68.40068580541953,Anton FERDINAND,Queens Park Rangers
0.1689843287416014,4.689589684774471,Billy JONES,West Bromwich Albion
0.1056589024757285,31.251627866391846,Shaun WRIGHT-PHILLIPS,Queens Park Rangers
0.0415103222496721,24.080509302422264,Joey BARTON,Queens Park Rangers
0.0338628587063829,18.727000869569327,Joey BARTON,Queens Park Rangers
0.0664006857079047,27.39986311475856,Shaun WRIGHT-PHILLIPS,Queens Park Rangers
0.0107870784146355,16.55028256767963,Taye TAIWO,Queens Park Rangers
0.1203055849134246,5.157634931570214,Shane LONG,West Bromwich Albion
0.0106971249112565,17.55156953077366,Adel TAARABT,Queens Park Rangers
0.15710029547037,31.46234115739697,Bobby ZAMORA,Queens Park Rangers
0.0915345127980721,46.64894160452503,Heidar HELGUSON,Queens Park Rangers
0.0593862029369496,5.70807381525773,Chris BRUNT,West Bromwich Albion
0.2200056135439902,5.069900416651162,Shane LONG,West Bromwich Albion
0.0037586432525561,6.199696574765472,Frank LAMPARD,Chelsea
0.0101307631260046,5.503917378042209,Florent MALOUDA,Chelsea
0.3788220432903606,65.53291125019739,Yakubu AYEGBENI,Blackburn Rovers
0.0245351274231257,16.420616541582028,Ruben ROCHINA,Blackburn Rovers
0.0002606093091017,8.982243842659463,Ruben ROCHINA,Blackburn Rovers
0.1039040005573784,5.335284472688691,Frank LAMPARD,Chelsea
0.1683479308844862,4.735058762921105,Daniel STURRIDGE,Chelsea
0.0298558309751549,5.493137202349484,RAMIRES,Chelsea
0.0664973271233922,44.367393290390794,Fernando TORRES,Chelsea
0.1906973639071035,65.84879772851578,Frank LAMPARD,Chelsea
0.0254877247788001,5.898749549032089,Ruben ROCHINA,Blackburn Rovers
0.0619541366443219,5.6874188611695216,Morten GAMST PEDERSEN,Blackburn Rovers
0.2272960593833449,4.72441010723204,Grant HANLEY,Blackburn Rovers
0.1125356323857818,32.27083170205692,RAMIRES,Chelsea
0.00364245698113,14.684984370388973,Frank LAMPARD,Chelsea
0.0080070259247351,15.18157811231494,RAMIRES,Chelsea
0.0274933957066699,6.125083441893184,Mauro FORMICA,Blackburn Rovers
0.0516867560963271,5.552255385695536,David HOILETT,Blackburn Rovers
0.108578496478008,4.9632858311152495,Yakubu AYEGBENI,Blackburn Rovers
0.0105352270264324,16.61000426113568,ALEX,Chelsea
0.090312357415504,4.744186994072259,Mauro FORMICA,Blackburn Rovers
0.0593855930811903,5.7067087441566,Morten GAMST PEDERSEN,Blackburn Rovers
0.0418355305905798,23.972350527340684,Daniel STURRIDGE,Chelsea
0.0335064361730334,5.545236746046176,Morten GAMST PEDERSEN,Blackburn Rovers
0.3732353767692361,66.16093991377946,Fernando TORRES,Chelsea
0.2987883480109367,4.709404187199373,Hugo RODALLEGA,Wigan Athletic
0.0169936304816843,5.585773331918122,Hugo RODALLEGA,Wigan Athletic
0.0361167708506624,5.288246931029396,Steve GOHOURI,Wigan Athletic
0.0641633342724488,26.002344431948497,Stephane SESSEGNON,Sunderland
0.0087281395394971,5.308944277196229,Albert CRUSAT,Wigan Athletic
0.0995237472587294,4.785428269777378,David JONES,Wigan Athletic
0.2107347758013827,4.9716059251404765,Ben WATSON,Wigan Athletic
0.0451323448712752,23.54084609379748,Nicklas BENDTNER,Sunderland
0.055331525575492,5.264459968983482,Jordi GOMEZ,Wigan Athletic
0.0135636517182041,5.54496752159504,Jordi GOMEZ,Wigan Athletic
0.0577240069732479,4.835328524523061,David JONES,Wigan Athletic
0.0081065753834977,5.588982465643751,Antolin ALCARAZ,Wigan Athletic
0.0545873297695977,16.280688737419993,Craig GARDNER,Sunderland
0.0106292350019951,17.642600620747835,David JONES,Wigan Athletic
0.0373426928631638,17.817734913082322,Victor MOSES,Wigan Athletic
0.3660112543843523,4.58533506202825,James MCCLEAN,Sunderland
0.3022586725257517,4.50857531536024,James MCCLEAN,Sunderland
0.0430443016877722,20.13845395075669,Ben WATSON,Wigan Athletic
0.063420127494293,23.122890374460297,Hugo RODALLEGA,Wigan Athletic
0.0591108920696636,17.132518922869696,David JONES,Wigan Athletic
